"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11"
"1","Est","10","15","30","45","80","130","215","360","600","1000"
"2","E1","13730.5288077511","1166.11186577105","259.827331520823","153.52355517083","89.9899662794124","61.9809070024338","44.8331497251808","33.5007186408629","25.7508478586322","19.6279759382916"
"3","E2","83.8189028958215","59.1118662992821","39.1083932095996","30.4625940551129","22.7781875006577","17.4426276955677","13.3119227310653","10.2892423430688","7.99916174950062","6.16384068850534"
"4","E3","39.7097735797338","29.8604928153841","20.9131038515743","16.8743452365499","12.4222312003427","9.90748605122807","7.58025514930712","5.83725642396837","4.54596920300721","3.54422149089642"
"5","E4","23.4768024079305","20.4683253738372","14.1104032006228","12.0240963826337","8.71969124030189","6.79623474491416","5.41485682261387","4.1054542162639","3.19382091897176","2.50486449876884"
"6","E5","19.998604286939","15.9644181375606","11.0749833007925","8.97681579425291","6.75593603819594","5.26751799863044","4.04999565601802","3.11512293939375","2.44856930617288","1.91832185369285"
"7","E6","13.4401045810889","10.7893948363641","8.2819135765602","6.64691195488264","5.05264247442133","3.92166041437522","3.09142593932154","2.31729854836184","1.81477779621991","1.42437355472785"
"8","E7","12.9358577460418","8.82036479927524","6.23439783810031","4.9863614138946","3.66495799404127","2.81887298365434","2.15302226915355","1.72600529958728","1.30457387120623","1.01610160354859"
"9","E8","8.59058162790408","5.97913544075244","4.20991076146557","3.40018318633132","2.65367607467949","2.10086213128443","1.61769276676611","1.24791154775833","0.963712301228085","0.757016793892332"
"10","E9","8.68357619690281","6.02620385147115","4.14970622213468","3.43556920468436","2.48405182630096","1.90253487424303","1.49474339267475","1.17098858996685","0.902287569583733","0.702231886806117"
"11","E10","5.98698122061126","4.83581576166501","3.71855904775641","2.96562590034929","2.27995400265869","1.78442689149594","1.38670127253144","1.08471550995038","0.824897393032536","0.639476002072602"
"12","E11","5.88025081567396","4.81670183601283","3.36615023706585","2.82250336461373","2.08306656219017","1.63523019983294","1.27147807377241","0.991943068561651","0.76253524143672","0.589475258292262"
"13","E12","5.05776455579901","4.36058308844062","3.04602836527079","2.61364012802956","1.94155143672042","1.50520979406697","1.17139000006366","0.907333865407758","0.708469707778304","0.546732018576926"
"14","E13","6.72984876493805","5.1718689342431","3.59053493616373","2.9207265473624","2.18586897749132","1.71687213395884","1.33629376546993","1.03352660781438","0.797775570617212","0.615156515520827"
"15","E14","11.6317418248328","8.86198319595399","6.13537863387382","4.87690200743273","3.60038009128108","2.85403039562577","2.2211836028557","1.73171576201625","1.34772513213623","1.03446533936509"
"16","E15","48.2742018383268","29.0599010436949","16.8281295966949","12.9586156480032","9.28735102271608","7.11561026925753","5.44011421241714","4.21304965411484","3.27503668631431","2.50171272367082"
"17","E16","49.8850488435487","28.46364396495","20.053021695864","18.0293423903415","11.4151597417975","11.1103235720234","8.30971280094515","6.60208155502247","4.84362715058109","3.86892347226453"
